281398	70080	7554	0	256	1	0	8704
280129	217228	6563	-1	0	1	260608	9728
5955	5448	335	-1	256	0	1536	184
53593	37246	5942	4096	256	0	36864	7810
193830	162139	2243	0	0	0	0	14080
4863	1213	12361	8192	256	1	512	3650
68153	66422	9549	4096	256	0	2816	1418
249667	56341	6387	-1	131	0	120064	9984
332604	46221	3278	4096	131	1	23552	13056
191697	52947	4800	0	256	1	0	11520
3125	373	488	4096	256	0	768	395
151516	75216	9356	-1	131	1	100608	6912
274832	54858	5753	4096	131	1	86784	10496
160782	82861	6939	-1	0	1	22016	9216
338992	104262	2051	4096	256	1	190208	14080
155608	125181	15389	0	256	0	0	768
282307	100213	2398	0	131	0	0	13824
146042	15377	7090	-1	131	1	2048	9216
173394	93873	10477	4096	256	0	48128	4431
64814	15111	9859	0	131	1	0	6400
301149	50715	15707	4096	131	0	245760	512
246898	40123	4	0	0	1	0	16128
70494	68044	13752	0	0	1	0	2450
91494	24716	3179	4096	131	0	62208	12148
145524	76401	5188	4096	131	1	66560	11008
143122	33122	15050	4096	0	0	85760	1280
224374	40141	5297	-1	131	1	154112	11008
108692	9245	7826	-1	256	1	57088	8448
240490	56994	11711	-1	131	1	60672	4608
216354	79698	2702	-1	131	1	74240	13568
130781	47504	14426	-1	256	1	67840	1792
178731	29745	10683	0	256	0	0	5632
177815	165337	14437	-1	131	1	118272	1792
14307	8924	7149	0	256	1	0	5383
144723	39725	3944	8192	256	0	31232	9427
167880	124750	10052	-1	256	0	36608	6144
235478	207530	15144	4096	0	0	136192	1024
61827	31715	15695	-1	256	1	27136	512
243451	17949	12326	0	256	1	0	3840
254596	153072	13275	4096	256	0	67840	2576
47374	38254	9028	-1	256	0	26112	7168
19596	2120	15838	0	256	0	0	512
251388	12267	5299	4096	256	0	177664	8213
199440	116571	6300	8192	0	1	110080	9984
189078	170759	1088	4096	0	0	768	13561
95563	89280	6890	-1	0	0	14848	6208
204199	96419	14610	8192	0	0	37376	1536
155015	88835	14695	8192	256	1	80128	1536
178132	137410	254	0	0	1	0	16128
142529	80872	5884	0	256	0	0	10496
8647	38	6975	8192	131	1	2560	8609
193619	189954	7667	8192	131	1	65792	3665
202330	65263	4344	4096	256	0	126976	8465
77890	72688	466	-1	256	0	53248	4880
210570	73408	14668	8192	0	1	172288	1536
112876	31289	14499	8192	131	1	107776	1792
61481	43004	7369	4096	0	0	46336	3332
243615	22797	4012	4096	0	1	144640	12288
21925	16360	15101	8192	256	0	8192	24
133334	10018	10082	8192	131	0	33792	6144
295444	151618	106	-1	256	1	113664	16128
10438	3682	11247	0	256	1	0	5120
19733	651	11687	0	131	1	0	4608
318490	86497	10124	4096	0	1	52224	6144
140382	75884	13024	-1	256	0	125696	3328
172610	55937	5109	0	0	0	0	11264
341485	282844	3509	8192	256	1	304128	12800
137171	37993	3753	-1	256	0	67072	12544
129060	41597	1608	4096	0	0	24832	11651
220796	102246	6234	4096	131	0	144896	8346
249304	171897	1270	8192	131	1	205312	15104
303879	8840	13856	8192	0	1	74240	2304
112986	75104	8217	4096	131	1	47616	7936
137429	119689	11460	4096	131	1	56320	4864
180435	135554	15285	8192	256	0	133888	1024
141681	113802	2028	-1	256	0	114432	630
44025	27571	14371	8192	131	0	17152	1792
74169	32892	11245	8192	0	0	44544	5120
46842	22269	11585	4096	0	0	32512	2307
63022	36482	3613	4096	131	1	44032	12544
38483	8099	2852	4096	0	0	37888	12381
92447	22354	5123	-1	0	1	3072	11008
49426	15946	12344	-1	0	1	48128	3840
116542	80743	13741	-1	0	0	35072	2560
188081	34734	9859	8192	256	1	43520	6400
94626	87514	6050	-1	0	1	35328	7112
112843	44302	7174	8192	256	0	94720	4850
228161	225331	2531	4096	131	0	86784	2509
123709	108150	497	0	256	0	0	15559
239962	232425	11034	8192	256	0	13568	5120
174387	70368	1041	8192	131	0	18944	11552
215094	191095	13525	4096	131	1	30208	2816
254359	237264	6566	0	0	0	0	9728
241742	113506	64	4096	131	0	35072	13470
61953	27754	16146	4096	0	0	54272	0
10143	3221	15055	0	131	1	0	1280
182857	55557	7506	4096	0	0	12800	5883
